DIRECON;TEATINOS Nº 180, PISO 9;Internacional;61, 62, 63, 74;http://www.prochile.gob.cl/paises/bolivia/;NO TIENE 
IBAL;CAPITAN USTARIZ KM 4 N°3455;Integracion;10;NO TIENE;NO TIENE 
Cafe La Coroiqueña;C. ILLIMANI Nº 120;Integracion;27;NO TIENE;NO TIENE 
Tipiko Ropa Infantil;ESMERALDA NORTE PARADA 5;Integracion;21;http://www.padreshispanos.com/manualidades_y_arte/trajes-tipicos-del-mundo-oruro-bolivia/549/;NO TIENE 
ALVARO FUENTES ION TECNOLOGY S.R.L.;C. MEXICO Nº 324;Internacional;13;NO TIENE;NO TIENE 
Joyeria Ayrin;Av. SAN MARTIN ESQ BRASIL Nº 901;Bicentenario;30;NO TIENE;NO TIENE 
OPTICA BUENOS AIRES;Av. SAN MARTIN N° 283;Bolivia;44, 45, 46;http://imbolivia.com/e/optica-buenos-aires;NO TIENE 
Comercial Lara;Av. CIRCUNVALACION PASAJE NICOLAS FLORES S/N;Integracion;20;NO TIENE;NO TIENE 
Vinos Casanova;Av. GUAPURU ENTRE GUAYACAN Y RUISEÑOR;Bicentenario;19;http://www.lostiempos.com/especiales/edicion/especiales/20130502/bodegas-y-vinedos-ven-a-la-feicobol-como-su-mejor_211449_454147.html;https://www.facebook.com/VinosCasanova
Covarrubias Importaciones;C. RUIZ DE ORELLANA Nº 1273;Internacional;29;https://www.facebook.com/covarrubiasimp/photos_stream?tab=photos;https://www.facebook.com/covarrubiasimp
Amore;Av. OQUENDO Nº 654 MEZANINE LOCAL 138 SHOPPING TORRES SOFER;Bolivia;41, 42;NO TIENE;NO TIENE 
Artesanias Illimani;EDIFICIO HANDALL FRENTE AL OBELISCO PLANTA BAJA PUNTO BOLIVIANO Of. 47 - 48;Integracion;9;http://www.comercio.gnb.com.bo/Ropa-de-hombre,-accesorios-y-articulos.-Confecciones-y-venta/11756/ARTESAN%C3%8DAS-ILLIMANI.html;NO TIENE 
Calzados Salguero;VILLAVICENCIO, C. CHIPAYA PASAJE B 203;Bicentenario;23;NO TIENE;NO TIENE 
Mevar S.R.L.;Av. BLANCO GALINDO N° 1529;Bicentenario;91;NO TIENE;NO TIENE 
Moda Corp;C. 16 de Julio esquina La Paz;Bicentenario;48;NO TIENE;NO TIENE 
EDITORIAL LIBROS ABIERTOS;C. CARACOLES N° 369 ZONA HIPODROMO;Bicentenario;87;http://www.directorio.com.bo/38774_editorial-libros-abiertos;NO TIENE 
Vanidades Bijouteria;C. 24 DE SPETIEMBRE BAZAR MARISOL;Integracion;28;NO TIENE;NO TIENE 
Yuli Import;Tumusla Nº 107;Bicentenario;78, 79, 80, 81, 82, 83;http://www.yuliimport.com/;NO TIENE 
EMBUTIDORA TORRICO SRL;CARRETERA ORURO KM 22 1/2;Bolivia;88, 89, 90;NO TIENE;NO TIENE 
Romalini;C. ANTEZANA Nº 377 CASI VENEZUELA;Internacional;75;NO TIENE;NO TIENE 
MIO;C. Sucre Nº 1369;Internacional;17;NO TIENE;NO TIENE 
ARTESANIAS FERNANDEZ;Av. Suecia y Sofia Rosel;Integracion;7;NO TIENE;NO TIENE 
IMPORTADORA TAMIVA;VILLA DE OROPEZA N°781;Bolivia;93, 94;https://www.facebook.com/Importadora.Tamiva;NO TIENE 
MEDICAL STORE;C. Villa de Oropeza Nº 880 Edificio Miracena Piso Mezanine Dpto 1A;Bolivia;91, 92;http://imbolivia.com/e/medical-store;NO TIENE 
IMPORTADORA IMCABEZ SRL;Mayor Rocha 314 entre Hamiraya y Tumusla;Bolivia;51, 52;NO TIENE;NO TIENE 
VINOS LA TORRE;LADISLAO CABRERA Y NATANIEL AGUIRRE;Bicentenario;32;NO TIENE;NO TIENE 
VINOS LA TORRE;LADISLAO CABRERA Y NATANIEL AGUIRRE;Integracion;6;NO TIENE;NO TIENE 
FRUTOS DEL SUR SRL;Av. Reducto C. las violetas zona brunomoko;Integracion;30, 35;http://www.directorio.com.bo/61542_industrias-de-alimentos-y-bebidas-frutos-del-sur-srl;NO TIENE 
CHALY KIDS;C. Rafael Bustillos 40 entre miraflores y derechos humanos;Bicentenario;50;NO TIENE;NO TIENE 
PULLMAN LTDA;Av. Pando 1182;Bicentenario;95, 96, 97, 100, 101, 102;http://www.colchonespullman.com/;NO TIENE 
CENTRO CULTURAL SEÑOR JUSTO JUEZ;Nuñez de Balboa 257 zona hipodromo;Integracion;19;NO TIENE;NO TIENE 
BOLIVIA PRODUCIENDO QUINUA;Av. CIRCUNVALACION Y FORESTAL 003 ZONA AMANCAYAS;Integracion;1;http://iicyt.fcyt.umss.edu.bo/drupal-cero2/node/28;NO TIENE 
GRANJA AVICOLA INTEGRAL SOFIA LTDA.;Av. TUNARI ESQ. CIPOY ZONA LAGUNA ALALAY NORTE;Bolivia;74, 75, 76, 77;NO TIENE;NO TIENE 
TECHNOCASA;Av. HEROINAS 880;Bicentenario;88;http://bolivia.inmobiliaria.com/inmobiliaria-de_santa-cruz-tecnocasa-bolivia-F12353.htm;NO TIENE 
GRUPO EMPRESARIAL VALENCIA SRL;CARRETERA CONFITAL KM 18 1/2;Bolivia;5, 6;http://www.trabajopolis.bo/empresa-con-ofertas-de-trabajo-y-empleo-en-bolivia/55118/Grupo%20Empresarial%20Valencia%20S.R.L.;NO TIENE 
CHERRY ACCESORIOS;ZONA 14 DE SEPTIEMBRE, Av. BUENOS AIRES 518 GALERÍA AZTLAN LOCAL 1;Integracion;16;https://www.facebook.com/pages/Cherry-Accesorios/589250547779168;https://www.facebook.com/pages/Cherry-Accesorios/589250547779168?fref=ts
ROSA DE FRANCIA;C. TARAPACA Nº 749 4TO PISO ZONA 14 DE SEPTIEMBRE;Integracion;18;http://boliviaya.com/empresa/00222808-joyeria-y-relojeria-rosa-de-francia.html;NO TIENE 
EXPOSALUD;C. VILLAVICENCIO, C. CHIPAYA PASAJE B 203 URB, SIDUMSS;Internacional;113;NO TIENE;https://www.facebook.com/ExpoSaludEcuador?fref=ts
BOUTIQUE INDIA ARTE HINDU;C. FLORIDA 62 ENTRE 24 DE SEPTIEMBRE Y LIBERTAD;Internacional;107;NO TIENE;NO TIENE 
GUORANGA EXPORT;SHOPING NORTE CUARTO NIVEL LOCAL 42;Internacional;108;NO TIENE;NO TIENE 
SHIVA;Av. 5TO ANILLO 3555;Internacional;109;NO TIENE;NO TIENE 
SERVICIO DE IMPUESTOS NACIONALES;C. JORDAN Nº 259 ENTRE ESTEBAN ARCE Y NATANIEL AGUIRRE;Bicentenario;10;http://www.impuestos.gob.bo/;https://www.facebook.com/sinbolivia?fref=ts
SOYAVIT;C. COROICO 1442 (3ER PISO SOBRE ACADEMIA TENIENTE);Integracion;33;NO TIENE;https://www.facebook.com/pages/Soyavit/1532817343603783?fref=ts
EQUIMPORT;CALAMA 0340;Bicentenario;8, 9;http://www.equimport.com/;https://www.facebook.com/Equimportscz?fref=ts
EQUIMPORT;CALAMA 0340;Bolivia;12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 27, 28;http://www.equimport.com/;https://www.facebook.com/Equimportscz?fref=ts
RIO SELVA RESORT S.A.;C. ROMECIN CAMPOS 696 ZONA SOPOCACHI;Bolivia;85, 86, 87;http://www.rioselva.com.bo/contacto.html;https://www.facebook.com/HotelesRioSelvaResort?fref=ts
CLINICA ODONTOLOGICA TELLO;C. BUENOS AIRES ENTRE PANDO Y MELCHOR URQUIDI;Internacional;10;http://es.boliviayp.com/company/57964/TELLO_CLINICA_ODONTOLOGICA;https://www.facebook.com/pages/Clinica-Odontologica-Tello/327865304036596?fref=ts
INDUSTRIAS LIDER LTDA;Av. HUAYNA KAPAC 747;Bicentenario;66, 67;https://www.facebook.com/pages/Industrias-Lider-Ltda-Sucursal-Sc/182060158553517?sk=info&tab=page_info;https://www.facebook.com/pages/Industrias-Lider-Ltda-Sucursal-Sc/182060158553517?fref=ts
JAVIER TORRE ROBLES;HUANCAYO C. PRIMAVERA 140;Integracion;25;NO TIENE;NO TIENE 
JAVIER TORRE ROBLES;HUANCAYO C. PRIMAVERA 140;Internacional;16;NO TIENE;NO TIENE 
MODAS NAYRA;Ismael Cespedes esq. Chimane 1311;Internacional;91;NO TIENE;NO TIENE 
ASOCIACION DE PRODUCTORAS ULALA;LA JOYA ESQ. INCACHACA VILLA PAGADOR;Integracion;37;http://www.opinion.com.bo/opinion/revista_asi/2015/0201/suplementos.php?id=5383;NO TIENE 
COMEDICA BOLIVIA S.R.L.;C. PANTALEON DALENCE 1722;Bolivia;11;NO TIENE;NO TIENE 
