1|A&E|66|4413839|4413839|Av. Medinacelli Nº 1465|Internacional|NO TIENE|NO TIENE ||
2|ACERVIDA|42|70813561||C. Guarayos Nº 7 Santa cruz|Bicentenario|http://www.actiweb.es/acervida-gimnasio/|NO TIENE ||
3|ACQVATECH|45|4798141||C. Girasoles 1234 zona alto aranjuez|Bicentenario|NO TIENE|NO TIENE ||
4|ACUAVID IMPORT & EXPORT|72, 73|4229396||C. Urinsaya 23 frente escuela Santiago Apostol EL PASO|Internacional|NO TIENE|https://www.facebook.com/pages/Acuavid-Import-Export/163343957083298?fref=ts||
5|ADUANA NACIONAL DE BOLIVIA|21, 22|4377777|4377777|Av. Capitan Ustariz km7 1/2|Bicentenario|http://www.aduana.gob.bo/aduana7/|https://www.facebook.com/AduanaNacionalDeBolivia?fref=ts||
6|AGRONAT S.A.|94|2490906||C. Felipe II Guzman Nº 1578 - La Paz|Bicentenario|http://www.agronat.com/|https://www.facebook.com/AGRONAT||
7|AGROTE - ASOCIACION AGROINDUSTRIAL DE PRODUCTORES DE TE|14|4704546|76401227|Av. Villazon km 10 1/2 frente a surtidor City True Comercial Vergara|Bicentenario|http://cambioclimatico.forolacfr.org/materiales/PDFs/Taller_VIII/Rolando_Sahonero-Sartawi-Bolivia.pdf|NO TIENE ||
8|ALGAR S.A.|106, 107, 108|4429192|4119253|Av. BLANCO GALINDO KM 1 1/2 Nº 1290 ZONA HIPODROMO ACERA NORTE|Bolivia|NO TIENE|NO TIENE ||
9|ALVARO FUENTES ION TECNOLOGY S.R.L.|13|4254109|4048157|C. MEXICO Nº 324|Internacional|NO TIENE|NO TIENE ||
10|ALZER REPRESENTACIONES|21|4792600||Av. Blanco Galindo 268 entre Heroes nacionales y Caracoles|Internacional|NO TIENE|NO TIENE ||
11|AMERICAN TRADING COMPANY SRL|1D20E|3115737||Parque Industrial Zona Este Final Av. Prolongacion Paragua|Area Externa|NO TIENE|NO TIENE ||
12|Amore|41, 42|4535379||Av. OQUENDO Nº 654 MEZANINE LOCAL 138 SHOPPING TORRES SOFER|Bolivia|NO TIENE|NO TIENE ||
13|ANVICK|99, 100, 114|4665560||Av. Villarroel 2030 casi Ciclovia|Internacional|NO TIENE|NO TIENE ||
14|APPSBOL SRL|2A10E|4284384|72214108|C. Irigoyen Nº 302|Internacional|NO TIENE|NO TIENE ||
15|ARTE & MUEBLES|14|4223830|65501006|Av. BEIJING ESQ ANGELICA ASCUI|Bicentenario|NO TIENE|NO TIENE ||
16|ARTESANIAS FERNANDEZ|7|4747084||Av. Suecia y Sofia Rosel|Integracion|NO TIENE|NO TIENE ||
17|Artesanias Illimani|9|72523644||EDIFICIO HANDALL FRENTE AL OBELISCO PLANTA BAJA PUNTO BOLIVIANO Of. 47 - 48|Integracion|http://www.comercio.gnb.com.bo/Ropa-de-hombre,-accesorios-y-articulos.-Confecciones-y-venta/11756/ARTESAN%C3%8DAS-ILLIMANI.html|NO TIENE ||
18|ARTESANIAS SAM|53, 54, 55, 56|72746544||Psje. Camponovo y Av. Simon Lopez esq Colquiri|Integracion|NO TIENE|NO TIENE ||
19|ARTESANOS BICENTENARIO|35, 36, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54|4311641||Av. Oncologico Tiquipaya|Artesanal|NO TIENE|NO TIENE ||
20|ARTESANOS PRODUCTORES COCHABAMBA (MI LLAJTA, INTI Y SARTAWI ANDINO)|1C18E|79354774 - 72212213||Pasaje Joaquin Zenteno Anaya Nº 77|Area Externa|NO TIENE|NO TIENE ||
21|ASOCIACION DE PRODUCTORAS ULALA|37|4401173||LA JOYA ESQ. INCACHACA VILLA PAGADOR|Integracion|http://www.opinion.com.bo/opinion/revista_asi/2015/0201/suplementos.php?id=5383|NO TIENE ||
22|AUTOCORPORACION SERCOA SRL|2A9E|70721600||Av. Ramon Rivero Nº 642|Area Externa|NO TIENE|NO TIENE ||
23|AUTOGROUP GRUPO AUTOMOTRIZ BOLIVIANO SRL|7|4457777|75466408|Av. AMERICA Nº 877|Area Externa|http://bo.w393.com/AUTOGROUP+GRUPO+AUTOMOTRIZ+BOLIVIANO+SRL/4580371700|https://www.facebook.com/imserauto.importacionesrepresentaciones?fref=ts||
24|AUTOMUNDO BOLIVIA SRL|25, 26, 27, 28, 29, 30, 31, 32|4297001|4297014|Av. Libertador Bolivar Nº 1418|Area Externa|http://www.automundobolivia.com/|https://www.facebook.com/profile.php?id=100009255367210&fref=ts||
25|AUTORIDAD DE FISCALIZACIÓN Y CONTROL SOCIAL DEL JUEGO|83, 84|2971558|2971559|C. 16 de Obrajes Nº 220|Bolivia|http://www.aj.gob.bo/sitios/sitioWebAJ/Paginas/Principal.aspx|NO TIENE ||
26|AVICOLA ROLON SRL|64, 65, 66|4316082 - 4316921|70744251|Av. DEL REDUCTO S/N ZONA BRUNOMOCO TIQUIPAYA|Bolivia|NO TIENE|NO TIENE ||
27|BADANA FASHION|40|72070599||Av. MARISCAL SANTA CRUZ Nº 1086 GALERIA DE FERIA DEL CUERO|Bicentenario|NO TIENE|NO TIENE ||
28|BANCO GANADERO S.A.|2A27E|317-3061|317-3000|Av. Ayacucho Nº 174|Area Externa|https://www.bg.com.bo/|https://www.facebook.com/bg.com.bo?fref=ts||
29|BANCO MERCANTIL SANTA CRUZ|109, 110|4251865 - 66|4251078|NATANIEL AGUIRRE N° 201 ESQUINA CALAMA|Area Externa|https://www.bmsc.com.bo/personas/Pagina%20Default/default.aspx|https://www.facebook.com/BancoMercantilSantaCruz?fref=ts||
30|BANCO NACIONAL DE BOLIVIA S.A.|4|4153999|4153999|Nataniel Aguirre Nº 198 esq. Jordan|Area Externa|http://www.bnb.com.bo/|https://www.facebook.com/BancoNacionaldeBoliviaSA||
31|BANCO UNION S.A.|18, 19, 20, 21, 22, 1-ATM|4171717|4171713|Av. Ballivian Nº 725|Bolivia ó Area Externa|http://www.bancounion.com.bo/|https://www.facebook.com/bancounion||
32|BIBLOS EDICIONES|29|4458699|75991565|PSJE. WARISATA Nº 1 CIRCUNVALACION Y POTOSI|Bicentenario|NO TIENE|NO TIENE ||
33|BOLHISPANIA S.A.|55|4563011 - 75581010|4599579|C. Federico Blanco Nº 831|Bolivia|NO TIENE|https://www.facebook.com/bolhispania.sa?fref=ts||
34|BOLIVIA PRODUCIENDO QUINUA|1|4712537 - 4713773 - 67462955||Av. CIRCUNVALACION Y FORESTAL 003 ZONA AMANCAYAS|Integracion|http://iicyt.fcyt.umss.edu.bo/drupal-cero2/node/28|NO TIENE ||
35|BOLTEC|9, 10|3433035|3433038|Av. ALEMANA ENTRE 6TO Y 7MO ANILLO Nº 6196|Bicentenario|http://www.boltec.com.bo/|https://www.facebook.com/boltecmaquinaria?fref=ts||
36|BOUTIQUE INDIA ARTE HINDU|107|3302824- 76785891||C. FLORIDA 62 ENTRE 24 DE SEPTIEMBRE Y LIBERTAD|Internacional|NO TIENE|NO TIENE ||
37|BREAK & DONUTS|1|4485209||ANICETO PADILLA N° 574|Internacional|http://www.breakanddonuts.com.bo/|https://www.facebook.com/Break.and.Donuts?fref=ts||
38|BURGER & FRIES BOLIVIA SRL|5|3410531||BARRIO LA BELGICA C. 8 Nº 3010 3ER ANILLO EXTERNO ENTRE Av. CANAL COTOCA Y Av. VIRGEN DE COTOCA,|Plaza de Comidas|NO TIENE|NO TIENE ||
39|CADEPIA - CAMARA DE LA PEQUEÑA INDUSTRIA Y ARTESANIA PRODUCTIVA DE CBBA|111, 112, 113|4250520||LADISLAO CABRERA N° 260|Area Externa|NO TIENE|NO TIENE ||
40|Cafe La Coroiqueña|27|2257611||C. ILLIMANI Nº 120|Integracion|NO TIENE|NO TIENE ||
41|CALZADOS HB|1B2E|4734296||C. Matias Cotrina 910 zona Lajma - Itocta|Bicentenario|NO TIENE|NO TIENE ||
42|Calzados Salguero|23|60776224||VILLAVICENCIO, C. CHIPAYA PASAJE B 203|Bicentenario|NO TIENE|NO TIENE ||
43|CALZART BOLIVIA|13|4256829|77234345|C. 25 DE MAYO Nº 233 ENTRE COLOMBIA Y ECUADOR|Bolivia|http://calzartbolivia.com/|NO TIENE ||
